şarkı sözleri;;"﻿şarkı sözleri;;şarkı ad"
"Bora Öztoprak – Meselâ sözleri:O günden beri sende aklım nedendir acaba…
Normal mi acaba…
Bırak beni desem çaresi yok mudur acaba…
Desem meselâ…
Üstüne ilaç sürülmez ki bu meretin
Geçsin diye ki geçmedi
Üstüne soğuk su içilmez ki bu ateşin
Sönsün diye, ah sönmedi
Eğer böyleyse bırak düşünme
Kader ne derse o
Ama yok gelmezse hayata küsme
Kader gülmezse zor";;Bora Öztoprak – Meselâ 
"Mustafa Ceceli – Ki Sen sözleri:
Ben senden bıktım usandım
Utanmazım, arlanmazım
Yerin de yurdun da benim
Gurbet çekemezsin ki sen 
Bağlarım acı dilini
Keserim çıkmaz yolunu
Severim çocukluğunu
Yol iz bulamazsın ki sen
İçmem mi elinden aşkın zehirinden
Sen gel de tanı kendini benden
Çekmem mi acını, bilmem mi içini
Ben de kiracıyım zaten, durmam…
Kaderim, kaçınılmazım
Gel yenilir yutulmazım
Uçurum kenarındasın düşme
Ne olursun bilmem";;Mustafa Ceceli – Ki Sen
"İdo Tatlıses – Buluşacaktık sözleri:Huzurlu düşünmek istiyorum her şeyi
Yalana karşıyım gerçeğe aşık!
Buluttan da nem kapıyorsun
Yokken de sorun yaratıyorsun.
Huzurlu düşünmek istiyorum her şeyi
Varsayım üzerine yaşamaya karşıyım
Her şeyler ortada ben neyi bağışlıyayım
Kendime karşıyım ya!
Ooofff ooff benimle mi yarışacaktın?
Her şeyim sensin demedin mi?
Zırvaladın mı?
Buluşacaktık!
Çok kurcaladın
Gereksiz kurcaladın
Ayılmayı denedim
Nafile
Hep seni dinledim
Hiç kendimi duyamadım
Mutluluğu denedim ya bide
Çok mantıklı değilse
Saçmalık anımsa
Ödüm patlar severse ya ya
Hep seni dinledim
Hiç kendimi duyamadım
Mutluluğu denedim ya bi de";;İdo Tatlıses – Buluşacaktık
"Pelin Gedik – İki Şaşkın Şarkı SözüBile bile ciğerini yine de
Kalktım geldim yanına
İp gibi dümdüz durdum
Bakmadım hiç sağıma soluma
Bakalım ne kadar sürecek
Kendini yok etmesi aşkın
Her ayrılık aynı değil mi
Bitince iki acı iki şaşkın 
Valla ben yana yana bittim
Eridim içime içime
Sensizlik yetti canıma
Bu defa beni geri döndürme 
Ben yitirdim aklımı söyle
Sen nasıl korudun
Gece yarıları şarkılarla
Sana usul usul sokuldum
Denedim ben olmadı asla
Sevişilmiyor ki bu kadar yasla
Kaç kişiyi koynumda senin yüzünden soğuttum
Ben yitirdim aklımı söyle
Sen nasıl korudun
Gece yarıları şarkılarla
Sana usul usul dokundum
Denedim ben olmadı asla
Sevişilmiyor ki bu kadar yasla
Kaç kişiyi koynumda senin yüzünden soğuttum";;Pelin Gedik – İki Şaşkın 
"Nükhet Duru & Mabel Matiz – Nerde Şarkı Sözü
Bağrımda esme rüzgar, ezberim eski aşklar.
Hani dönerdi nerde? Ne tadım ne tuzum var.
Nerde nerde nerde? Haylazım, canım nerde?
Nerde nerde nerde? Kalınır mı ellerle?
Nerde nerde nerde? Hainim, canım nerde?
Nerde nerde nerde? Uyunur mu ellerle?
Hasret eski bir ülke, gitgide büyümekte.
Çıkıp gelmezsin nerde? El eleyken el olduk.
Nerde nerde nerde? Haylazım, canım nerde?
Nerde nerde nerde? Kalınır mı ellerle?
Bağrımdan uçan kuşlar, söyleyin dağlar taşlar.
Hani dönerdi nerde? Ne gündüz ne gecem var.
Hasret eski bir ülke, gitgide büyümekte.
Çıkıp gelmezsin nerde?  El eleyken el olduk.
Nerde nerde nerde? Haylazım, canım nerde?
Nerde nerde nerde? Kalınır mı ellerle?
Nerde nerde nerde? Hainim, canım nerde?
Nerde nerde nerde? Uyunur mu ellerle?";;Nükhet Duru & Mabel Matiz – Nerde 
"Tan Taşçı – Sen Üzülme Şarkı Sözü





Neydi eksik bende olan
Seni gelip böyle çalan
Bize düşman bu dünyadan
Sende kalan hakkım razı
Sen üzülme, ben ezilmem
İçim rahat kendime karşı
Kalp düşmekle hiç eksilmez
Ne dertler aştı";;Tan Taşçı – Sen Üzülme 
"Anıl Durmuş – Gülistan Şarkı Sözü
Yedi gökten dert yağsa
Biri bana sen kadar dokunmazdı nasıl oluyorsa
Dokuz köyden kovulurcasına
Doğru olmak yetmiyormuş oysa
Kader ayrı telden çalıyorsa
Ben yine kederden, bi yerden dem vuruyorsam
Ucuz gönüller kapanırcasına
Kahrolup kurusun bendeki gülistan";;Anıl Durmuş – Gülistan 
"Gülben Ergen – Bu Benim Hayatım Şarkı Sözü





Sevgilim sen bu satırları okuduğunda
Ben gitmiş olacağım
Çok demode biliyorum
Ama daha iyisini bulamadım 
Mektup yazmayı da unutmuşum
Konuşmaya da cesaret edemedim
Ayrılığı yüzüme gözüme bulaştırırım diye
Lakin
Kim bilir kaç hayattan hatıra
Kolye gibi boynumda taşıdığım sorgulamadan
Gövdemin bir parçası gibi alıştığım
O görünmez zincir koptu 
Meğer maviymiş gökyüzü
Elbette içeride inceden bir sızı
Hep bir suçluluk duygusu
Hep bir korku
Sandığımdan zormuş kazı
Üstüme biçilen elbise
Adıma seçilmiş hayat
İyiliğim için buyurulmuş
Çivili bir taht
Dağıldılar toz gibi hafif
Ve gülümsedi aynadaki muhalif
Dedi ki: “rahat kurgu bunlar”
Biz değiliz bu uyduruk tarif
Sevgilim ben gittim beni affet
İki gözüm iki çeşme hakikaten
Ya aşk gibi aşk olacak dibine kadar
Ya bu kalp seve seve yalnızlığa talip
Bu benim hikayem benim hayatım
Sevdaysa sevda çıktı ok yaydan
İnişleriyle çıkışlarıyla
Kavgaysa kavga
Hodri meydan
Ah be ayrılık yine mi yine mi sen
Bitirdin beni bi düş yakamdan
Hep mi bir aşk acısı
Karadan denizden
Elveda sevgilim
Taşınıyorum senden
Çıktım yola ne esaslı macera
Burdan dönüş yok artık rastgele
Topladım dağılan parçalarımı
Birleştiririm nasıl olsa ara ara 
Bu benim hikayem benim hayatım
Sevdaysa sevda çıktı ok yaydan
İnişleriyle çıkışlarıyla
Kavgaysa kavga
Hodri meydan";;Gülben Ergen – Bu Benim Hayatım 
"

Göksel – Ben Fena Aşığım Şarkı Sözü





Küllerimi başka bir hayata savur
Bu bendeki kor ateşin karşılığı yoksa
Utanırım sözlerimi unut, yok say
Sende aynı yoksa unut
Sende aynı yoksa unut
Hiç değmediysem, yok say unut
Beni de kurtar, yok say unut
Yok say unut
Ben fena aşığım, çok fena aşığım
Batıyor dikeni göğsüme gülünün
Koparırsan acırım";;Göksel – Ben Fena Aşığım 
"Soner Sarıkabadayı – Ölümüne Şarkı Sözü





Her şeyi aldın ama birazı kaldı bana yetti
Kalbimi saldın ama mesafeler seni çekti
Bir güzele daldın o da seni bu gölgelere ekti
Oyalandın iyi de şimdi kim ne kadar etti
Birimizi ikimize değişine ne deniyor
Bizi bize kıra kıra gidişine özeniyor
Daha zor diye gecelere bileniyor
Eviriyor çeviriyor bi gündüz etmiyor
Şimdiiii
Ne sözüne inanırım
Ne de bi yeminine
Kendinden o kadar eminine
Güvenmem uymuyorsa zeminime
Bugününe yaz beni yokum ölümüne";;Soner Sarıkabadayı – Ölümüne 
