şarkı sözü;;şarkı adı
"Mor ve Ötesi - Cambaz

Ne habersin ne Türk'sün
Seni gören yollara dökülsün
Kul oldun, köle oldun
Kurşun geçirmez cam oldun
Bütün dünya izler durur
Afetiazam bekler durur
Hedefini al, piyasanı al, her şeyi al
Yandı dertler, bitti tasa
Ben kurbanım bu cambaza
İki gözüm kadar eminim, sen yoksun
Kul oldun, köle oldun
Kurşun geçirmez cam oldun
Cin oldun, adam çarptın
Cellat oldun, kelle uçurdun
Bütün dünya izler durur
Afetiazam bekler durur
Hedefini al, piyasanı al, her şeyi al
Yandı dertler, bitti tasa
Ben kurbanım bu cambaza
İki gözüm kadar eminim, sen yoksun
Var mısın? Yoksun
Var mısın? Yoksun
İki gözüm, eminim, sen yoksun
Var mısın? Yoksun
Var mısın? Yoksun
Bütün dünya izler durur
Afetiazam bekler durur
Hedefini al, piyasanı al, her şeyi al
Yandı dertler, bitti tasa
Ben kurbanım bu cambaza
İki gözüm kadar eminim, sen yoksun
Sen yoksun
Sen yoksun";;Mor ve Ötesi - Cambaz
"Athena - Yapma Be Kanka

Yandı her şey bi' anda
Deli miyim ben?
Bu olur iş değil
Yine bok yedim ben?
Battı bu balık yan gider, dönemez
Ne ayıp, ne günah kalmadı hiçbirşeydiler
Duymasınlar, beni anla
Yapma be kanka
Ne çok çektim ben bu şerefsiz kalpten
Susmuyor, durmuyor
Bu normal midir Allah aşkına ha?
Kim derdi ki bir gün susar
Bu densiz, bu yanık, şerefsiz bu kalp
Duymasınlar
Beni anla, yüzüme vurma
Bari sen yapma be kanka
Yandı kül oldu karşımda
Yandı kül oldu karşımda
Yanıyorum, kül oluyorum karşında
Yanıyorum, kül oluyorum karşında
Karşında
Karşında";;Athena - Yapma Be Kanka
"Pinhani - Beni Sen İnandır

Çizdim kendi aklımca
Hayatın resmini
Bi' şey bilmezdim aslında
Karıştırdım tüm renkleri
Hata yaptım tabii
Herkes başka bir şeyden
Kaçırmış kendini
Bazen yaşlı gözlerle
Kabullenmiş gerçekleri
Bazen memnun gibi
Artık çok uzaklaştım
En çok da kendimden
Evden, senden
Göçmen kuşlar gibi
Çok geç kaldığım hâlde
Solmuş resimlerde
Kaç yıl geçmiş
Hâlâ güzel durur
Küçükken çok inanmıştım
Eğer çok istersen
Her şey mümkün
İnanmak zor değil
Hikâyem senle başlardı
Senle devam etsin
Beni seni inandır
Çizdim kendi aklımca
Hayatın resmini
Bi' şey bilmezdim aslında
Karıştırdım tüm renkleri
Hata yaptım tabii
Herkes başka bir şeyden
Kaçırmış kendini
Bazen yaşlı gözlerle
Kabullenmiş gerçekleri
Bazen memnun gibi
Artık çok uzaklaştım
En çok da kendimden
Evden, senden
Göçmen kuşlar gibi
Çok geç kaldığım hâlde
Solmuş resimlerde
Kaç yıl geçmiş
Hâlâ güzel durur
Küçükken çok inanmıştım
Eğer çok istersen
Her şey mümkün
İnanmak zor değil
Hikâyem senle başlardı
Senle devam etsin
Beni seni inandır
Beni sen inandır
Beni sen inandır
Beni sen inandır";;Pinhani - Beni Sen İnandır
"Manga - Bir Kadın Çizeceksin

Ne kadar oldu bu hayata geleli?
Söyle, ne olacaksın büyüyünce
Diye sorulan sorular tarih oldu
Ama senin kafan hala dolu
İşte benim, işte senin, işte onun diye
Paylaşıyorsun hayatı üç kuruş sevginle
Ne? o da mı aldattı seni be?
Eee? ne kaldı geriye?
Bak sen ne yazık ki klasik bir tablosun dostum
Ne yaparsan yap boşsun
Tamam okumuşsun, ama yetmez
Sadece bununla dertler bitmez
Çıkacaksın kabuğundan, bunalımdan kurtaracaksın kendini
Ona göre yaşamayı bırakıp döneceksin gerçeklere
Ama önce
Bir kadın çizeceksin
Onun gibi bırakıp gitmeyecek
Saklayıp gömeceksin
Kimseler sevemeyecek
Şimdi bunlar yetmez gibi bir de, kendini aşka mı bıraktın, hadi be
Bırak adam gibi şeylerle uğraşmayı
Herkes gibi takıl, yaşa hayatını
Takılamıyorsan bile rol yap, ne yap et ama yarat kendi yalan dünyanı
Çünkü bunlar para ediyor, baksana sevgi bile yalan olmuş
Piyasada kavrulmuş, herkes kudurmuş
Canım dediğin bile arkandan vurmuş
Tüm bunları bilerek yaşa ve sakın
Ama sakın içindekileri tüketeyim deme
Bir gün gelecek göstereceksin kendini, sevgini, neler istediğini
Şimdilik alacaksın eline kalemi, kusacak dökeceksin nefretini
Bir kadın çizeceksin
Onun gibi bırakıp gitmeyecek
Saklayıp gömeceksin
Kimseler sevemeyecek
Birden duracaksın soracaksın kendine
Neden bu düzen böyle? neden herkes sahte?
Sonra bakacaksın, göreceksin çaren yok
Devam edeceksin? yalandan yaşamaya
Bir kadın çizeceksin
Onun gibi bırakıp gitmeyecek
Saklayıp gömeceksin
Kimseler sevemeyecek
Bir gün gelecek göstereceksin kendini, sevgini, neler istediğini
Şimdilik alacaksın eline kalemi, kusacak dökeceksin nefretini
Çıkacaksın kabuğundan, bunalımdan kurtaracaksın kendini
Ona göre yaşamayı bırakıp döneceksin (gerçeklere)
Bırakıp döneceksin gerçeklere
Bir gün gelecek göstereceksin kendini, sevgini, neler istediğini
Şimdilik alacaksın eline kalemi, kusacak dökeceksin nefretini
Çıkacaksın kabuğundan, bunalımdan kurtaracaksın kendini
Ona göre yaşamayı bırakıp döneceksin gerçeklere";;Manga - Bir Kadın Çizeceksin
"Seksendört - Kendime Yalan Söyledim

Terkedilmiş bir şehrin ortasındayım
Altım çamur üstüm, yağmur ama bak burdayım
Bazı şeyler kaybetmeden sevilmiyor
Bedenim burda fakat ruhum kabul etmiyor aah
Kendime yalan söyledim
Yalnızım bunu ben istedim
Paramparça bütün aynalar
İçinde kan revan birisi var
Kendime yalan söyledim
Yalnızım bunu ben istedim
Paramparça bütün aynalar
İçinde kan revan birisi var
Birisi var, birisi var
Yaşadığım ne varsa ben seçtim ben istedim
Artık sabah uyandığım ses annem değil
Bazı şeyler kaybetmeden farkedilmiyor
Bedenim burda fakat ruhum kabul etmiyor aah
Kendime yalan söyledim
Yalnızım bunu ben istedim
Paramparça bütün aynalar
İçinde kan revan birisi var
Kendime yalan söyledim
Yalnızım bunu ben istedim
Paramparça bütün aynalar
İçinde kan revan birisi var
Birisi var, birisi var
Ser verip, sır vermedim
Cesaret ister böyle itiraflar
Söylemesi zor
Tek korkum bu kadar
Kendime yalan söyledim
Yalnızım bunu ben istedim
Paramparça bütün aynalar
İçinde kan revan birisi var
Kendime yalan söyledim
Yalnızım bunu ben istedim
Paramparça bütün aynalar
İçinde kan revan birisi var
Birisi var, birisi va";;Seksendört - Kendime Yalan Söyledim
"Teoman - Rapsodi Istanbul

Al tüm param bu dedim
Boşver dedi sende kalsın
Bir parça yeter, ufak
Kopar ver yiyeceğinden
Etrafına bak
Onlardan olma sakın
Yola koyul küçük küçük
Git buralardan
Sokaklarda sapsarı yapraklar
Mazgallarda yağmurlar
Hangi kentte bu denli acı var
Başka nerde İstanbul kadar
yapraklar yatağın olsun
Kırlangıçlar arkadaşların
Yıldızlar yorganın olsun
Hem zaten gökte işsiz güçsüz duruyorlar
Benden geçti ama sen yap
Git buralardan
Bitene kadar bitmez hayat
Bitti mi de biter ama
İç tüm şaraplarını
Bu dünyanın
Kay ıslak güvertelerinde
Bütün güzel kadınların
Sokaklarda sapsarı yapraklar
Mazgallarda yağmurlar
Hangi kentte bu denli acı var
Başka nerde İstanbul kadar
yapraklar yatağın olsun
Kırlangıçlar arkadaşların
Yıldızlar yorganın olsun
Hem zaten gökte işsiz güçsüz duruyorlar
Sokaklarda sapsarı yapraklar
Mazgallarda yağmurlar
Hangi kentte bu denli acı var
Başka nerde İstanbul kadar
Yapraklar yatağın olsun
Kırlangıçlar arkadaşların
Yıldızlar yorganın olsun
Yapraklar yatağın olsun
Kırlangıçlar arkadaşların
Büyük aşklar hep senin olsun
Hem zaten boşu boşuna başkalarında duruyorlar";;Teoman - Rapsodi Istanbul
"Özlem Tekin - Aşk Herşeyi Affeder Mi?

Aşk herşeyi affeder mi
Dersin zamanla geçer mi
Güzel günlerin hatrına
Aşk herşeyi affeder mi
 
Çok üzgünüm istemeden
Seni dün gece aldattım
Kim olduğu mühim değil
Sana bağlanmaktan kaçtım
 
Çok üzgünüm istemeden
Bir bakışa aldandım
 
İnan bana bütün sabah
Pişmanlıktan ağladım
 
Aşk her şeyi affeder mi?
Dersin zamanla geçer mi
Güzel günlerin hatrına
Aşk her şeyi affeder mi?
 
Aşk her şeyi affeder mi?
Dersin zamanla geçer mi
Güzel günlerin hatrına
Aşk her şeyi affeder mi?
 
Çok üzgünüm istemeden
Seni dün gece aldattım
Kim olduğu mühim değil
Sana bağlanmaktan kaçtım
 
Çok üzgünüm istemeden
Bir bakışa aldandım
İnan bana bütün sabah
 
Pişmanlıktan ağladım
 
Aşk her şeyi affeder mi
Dersin zamanla geçer mi
Güzel günlerin hatrına
Aşk her şeyi affeder mi
 
Aşk her şeyi affeder mi
Dersin zamanla geçer mi
Güzel günlerin hatrına
Aşk her şeyi affeder mi
 
İsteksiz olmadı farkettim
Yaşlarım akmadı yalan söyledim
Aşk beni affetmez sen söyledin
Derdime tasama cevap verdin
 
Korku değil aslında pişmanlık
Bağlılık bu oyun da bir aptallık
Kumarbaz ruhumla seni aldattım
Bu oyunu aslında ben kazandım
 
Aşk herşeyi affeder mi
Dersin zamanla geçer mi
Güzel günlerin hatrına
Aşk herşeyi affeder mi
 
Aşk hep bizi es geçer mi
Derdim tasama çare olur mu
O gece olanların her biri
Affedilir ve gelir geçer mi";;Özlem Tekin - Aşk Herşeyi Affeder Mi?
"Pilli Bebek - Olsun

Yorgun gecelerin ardından
Hep aynı yere dönerken
Islak sokaklar boyu düşündüm
Solmuş insanların yüzünden
Gülümseme beklerken
Tren yolları boyu düşündüm
Sanki yıllardır, uzaktayım ben
Özlemlerim hep, sessiz derinden
Ama yalanlar, görürüm hala
Burdan bakınca şu sonsuz dünyaya
Olsun demek de zor artık
Çocuk düşlerimiz yok artık
Olsun demek de zor artık
Çocuk düşlerimiz yok artık
Erken ölümlerin ardından
Hep aynı yere dönerken
Islak sokaklar boyu düşündüm
Borcum varmış gibi kendimden
Gülümseme beklerken
Tren yolları boyu düşündüm
Sanki yıllardır, uzaktayım ben
Özlemlerim hep, sessiz derinden
Ama yalanlar, görürüm hala
Burdan bakınca şu sonsuz dünyaya
Olsun demek de zor artık
Çocuk düşlerimiz yok artık
Olsun demek de zor artık
Çocuk düşlerimiz yok artık
Olsun demek de zor artık
Çocuk düşlerimiz yok artık";;Pilli Bebek - Olsun
"Meto - Herşey Yolunda

Herşey yolunda stres boşuna
Mary yanımda kimse değil umrumda
Herkes yolunda panik boşuna
Olmak zorunda para gider hoşuma
Hiç yoktan baba kurdu kale
Kaptan Sağlam yaslan lale
Laf hep koskeş izle sahne
Bizde sokak ve cadde
Deli divaneyim bro sanane
Bırak bahaneyi flow şahane
Bilen hikayemi koyar mesafe
Bir kaç cenaze ve yaralı fare
Sahte guluşler sahte
Buyuzden çektim yuzume maske
Dost sandıkların kahpe
Çıktınca anlarsın birtek aile var
Kaşarlar çakalar
Sikimde değilki kurallar
Fuck kralını tanımam bro
Birtek guvenim çakıma
Ya kimseye ayıracak vakit yok
Tiktak nakit paraya
Yediyirmi konum studyo
Değil umrumda dunyaya
Dunyaya, dunyaya
Herşey yolunda stres boşuna
Mary yanımda kimse değil umrumda
Herkes yolunda panik boşuna
Olmak zorunda para gider hoşuma
Herşey yolunda stres boşuna
Mary yanımda kimse değil umrumda
Herkes yolunda panik boşuna
Olmak zorunda para gider hoşuma";;Meto - Herşey Yolunda
"Aylin Aslım - Sen mi

Bu köyden çıkış yok mu?
Senden kurtuluş yok mu?
Senden ve senin türünden?
Başka bir hayat yok mu?
Huzur istedik çok mu?
Senden ve senin türünden?
Gel, köşeleri tutmadan gel
Pisliğe batmadan, çamura yatmadan gel
Gel, bileğinin hakkıyla gel
Kimsenin altına yatmadan, üstüne basmadan gel
Sen mi beni öldüreceksin?
Sen mi beni durduracaksın?
Tırnaklarımla kazdığım yoluma mı çıkacaksın?
Sen mi beni öldüreceksin?
Sen mi beni yıldıracaksın?
Bunca yıl kanımla doydun
Canımı mı alacaksın?
Meydan senin, madem sensin lider
İki elim mızrak, iki göğsüm siper
Yüzleşmeye çağırsam da gelmezsin
Sırtımdan vurulursam, o kurşun sensin
Bu köyden çıkış yok mu?
Senden kurtuluş yok mu?
Senden ve senin türünden?
Gel, köşeleri tutmadan gel
Pisliğe batmadan, çamura yatmadan gel
Gel, bileğinin hakkıyla gel
Kimsenin altına yatmadan, üstüne basmadan gel
Sen mi beni öldüreceksin?
Sen mi beni yıldıracaksın?
Bunca yıl kanımla doydun
Canımı mı alacaksın?
Meydan senin, madem sensin lider
İki elim mızrak, iki göğsüm siper
Yüzleşmeye çağırsam da gelmezsin
Sırtımdan vurulursam, o kurşun sensin
Meydan senin, madem sensin lider
İki elim mızrak, iki göğsüm siper
Yüzleşmeye çağırsam da gelmezsin
Sırtımdan vurulursam, o namert sensin
Sen mi beni öldüreceksin?
Sen mi beni öldüreceksin?
Sen mi? Sen mi?
Sen mi? Sen mi?";;Aylin Aslım - Sen mi
