id,baslik,sarki_sozu,sarki_turu,eski_turkce_kelime_orani,fiil_orani,sifat_orani,zarf_orani,baglac_orani,unlem_orani,soru_orani,bilinmeyen_orani
0,Acem Kızı,"çırpınıp da şan ovaya çıkınca
eğlen şan ovada kal acem kızı
uğrun uğrun kaş altından bakınca
can telef ediyor gül acem kızı
seni seven oğlan neylesin malı
yumdukça gözünden döker mercanı
burnu fındık ağzı kahve fincanı
şeker mi şerbet mi bal acem kızı
",halk,0.2,0.07,0.05,0.09,0.02,0.0,0.05,0.0
1,Açma zülüflerin yellere karşı,"açma zülüflerin yellere karşı
senin zülfün benim telim değil mi
bülbül feryad eder güllere karşı
o yar benim gülüm değil mi
sallama saçların yâr yâr sende bulunsun
azrail misali yâr yâr canım alırsın
etme bu cefayı yâr yâr kanlım olursun
bu kul senin kulun değil mi
",halk,0.15,0.15,0.0,0.0,0.0,0.0,0.07,0.02
2,Ah bir ataş ver cigaramı yakayım,"ah bir ataş ver cigaramı yakayım
sen salın gel ben boynuna bakayım
uzun olur gemilerin direği
ah yanık olur anaların yüreği
ah çatal olur efelerin yüreği
ah vur ataşı gavur sinen ko yansın
arkadaşlar uykulardan uyansın
uzun olur gemilerin direği
ah yanık olur anaların yüreği
ah çatal olur efelerin yüreği
",halk,0.18,0.28,0.08,0.0,0.0,0.0,0.0,0.02
3,Sana olan duyguları bir bilebilsen (Ah le yar yar),"sana olan duyguları bir bilebilsen
anlayabilsen belki severdin
i̇çimdeki hasretimi bir duyabilsen
anlatabilsem belki benimdin
sana sevdiğim diyemem yalan vallahi yalan inan ki yalan
sen kara sevdamsın benim duman duman hasretin tüter içimde yanan
ah le yâr yâr
yine başımda sevdan
ah le yâr yâr
geceler kara zindan
ah le yâr yâr
bir parçacık canım kaldı onu da sen al
aklıma düştü gözlerin bir bıçak gibi
ah silah gibi cehennem gibi
söylenmemiş türkümdün sen
unutmam seni unutamam ki
sana sevdiğim diyemem yalan vallahi yalan inan ki yalan
sen kara sevdamsın benim duman duman hasretin tüter içimde yanan
ah le yâr yâr
yine başımda sevdan
ah le yâr yâr
geceler kara zindan
ah le yâr yâr
bir parçacık canım kaldı onu da sen al
",halk,0.24,0.16,0.04,0.05,0.04,0.0,0.0,0.01
4,Ahu gözlerini sevdiğim dilber,"ahu gözlerini sevdiğim dilber
sana bir sözüm var diyemiyorum
bilmem deli miyim mecnun gezerim
sırrımı ellere veremiyorum
derdimi ellere diyemiyorum
helal olsun al yanaktan aldığım
el uzatıp gonca gülün derdiğim
i̇nce belini tatlı dilini sevdiğim
kırılsın kollarım duramıyorum
al yanaktan aldıcağım azıktır
tarama zülfünü gönlüm bozuktur
öksüzüm garibim bana yazıktır
destursuz yanına varamıyorum
",halk,0.11,0.25,0.13,0.02,0.0,0.0,0.02,0.04
5,Ah yalan dünyada (Neşet Ertaş),"hep sen mi ağladın hep sen mi yandın
bende gülemedim yalan dünyada
sen beni gönlünce mutlu mu sandın
ben de gülemedim yalan dünyada ömrümü boş yere çalan dünyada
ah yalan dünyada yalan dünyada
yalandan yüzüme gülen dünyada
sen ağladın canım ben ise yandım
dünyayı gönlünce mutlu mu sandın dünyayı gönlümce olacak sandım
boş yere ağladım boşuna yandım boş yere aldandım boşuna kandım
ben de gülemedim yalan dünyada rengi gözümde solan dünyada
ah yalan dünyada yalan dünyada
yalandan yüzüme gülen dünyada
bilirim sevdiğim kusurun yoktu
sana karşı benim hayalim çokdu
felek bulut oldu üstüme yağdı
yaşları gözüme dolan dünyada
ah yalan dünyada yalan dünyada
yalandan yüzüme gülen dünyada
ne yemek ne içmek ne tadım kaldı
garip bülbül gibi feryadım kaldı
alamadım eyvah muradım kaldı
ben gidip ellere kalan dünyada
ah yalan dünyada yalan dünyada
yalandan yüzüme gülen dünyada
",halk,0.05,0.15,0.18,0.05,0.01,0.0,0.03,0.01
6,Al Alma Boyanır mı,"al alma boyanır mı
sevsem yar uyanır mı
sen orada ben burada
buna can dayanır mı
al almam dalda kaldı
gözlerim yolda kaldı
erdi eller muradına
bizimki dilde kaldı
al almanın dördünü
sev sevenin merdini
ancak sevenler bilir
bu gönül derdini
",halk,0.02,0.29,0.02,0.0,0.02,0.0,0.07,0.0
7,Allı durnam bizim ele varırsan,"allı durnam bizim ele varırsan
şeker söyle kaymak söyle bal söyle
gülüm gülüm kırıldı kolum
tutmuyor elim durnalar ey
ah gülüm gülüm yar gülüm
kız gülüm gülüm durnalar ey
eğer bizi sual eden olursa
boynu bükük benzi soluk yar söyle
gülüm gülüm kırıldı kolum
tutmuyor elim durnalar ey
ah gülüm gülüm yar gülüm
kız gülüm gülüm durnalar ey
allı durnam ne gezersin havada
arabam kırıldı kaldım burada
gülüm gülüm kırıldı kolum
tutmuyor elim durnalar ey
ah gülüm gülüm yar gülüm
kız gülüm gülüm durnalar ey
ne onmamış kulumuşum dünyada
akşam olsun allı durnam dön geri
gülüm gülüm kırıldı kolum
tutmuyor elim durnalar ey
ah gülüm gülüm yar gülüm
kız gülüm gülüm durnalar ey
",halk,0.05,0.18,0.06,0.01,0.01,0.07,0.0,0.01
8,Altin hızmav mülayım seni haktan dileyim,"altın hızmav mülayim
seni haktan dileyim
yaz günü temmuzda
sen terle ben sileyim
gün gördüm günler gördüm
seni gördüm şâd oldum
altın hızmav incidi
gömleği nariçidi
menim lâl olmuş dilim
ne dedi yar incidir
gün gördüm günler gördüm
seni gördüm şad oldum
altın hızmav tomağa
yaraşır al yanağa
güzel gel görüşelim
ben gidirem irağa
gün gördüm günler gördüm
seni gördüm şad oldum
",halk,0.06,0.34,0.1,0.02,0.0,0.0,0.0,0.11
9,Al yanak allanıyor,"al yanak allanıyor
aman yazması pullanıyor
o yar çıkmış karşımda
aman dal gibi sallanıyor
aman etme bana bu nazı
aman gel bize bazı bazı
aman yar ben seni alırdım
aman baban olsaydı razı
al yanak gül gül olur
aman sırma saç tel tel olur
yarim çıkma dışarı
aman seni gören delolur
aman etme bana bu nazı
aman gel bize bazı bazı
aman yar ben seni alırdım
aman baban olsaydı razı
al yanak pembe pembe
aman sevdan uyandı bende
sevdan ile yanıyorum
aman hiç insaf yok mu sende
aman etme bana bu nazı
aman gel bize bazı bazı
aman yar ben seni alırdım
aman baban olsaydı razı
al yanak gül gül olur
aman sırma saç tel tel olur
yarim çıkma dışarı
aman seni gören delolur
aman etme bana bu nazı
aman gel bize bazı bazı
aman yar ben seni alırdım
aman baban olsaydı razı
",halk,0.04,0.15,0.12,0.01,0.01,0.17,0.01,0.01
10,Aman avcı vurma beni,"aman avcı vurma beni
ben bu dağın aybalam maralıyam
maralıyam hem yaralı
avcı vurmuş aybalam yaralıyam
bir taş attım çaya düştü
çaydan bir çift aybalam suna uçtu
menim gönlüm sana düştü
senin gönlün aybalam kime düştü
bu dağlarda ceyran gezer
tırnakları aybalam taşlar ezer
ben o yara neylemişem
o yar benden aybalam kenar gezer
",halk,0.07,0.15,0.02,0.0,0.02,0.02,0.0,0.2
11,Aman aman Bağdatlı,"amman amman bağdatlı
yanağı baldan tatlı
kış günü yâr koynunda
yaz günü sahra tatlı
amman meleğim
nasıl edeyim
seko seko seko
gel yanıma
bağdata giden olsa
halimden bilen olsa
seni yıkarım bağdat
yârime ziyân osa
amman meleğim
nasıl edeyim
seko seko seko
gel yanıma
bağdata tel vuruldu
akan sular duruldu
şu benim cahil gönlüm
bir güzele vuruldu
amman meleğim
nasıl edeyim
seko seko seko
gel yanıma
",halk,0.07,0.18,0.09,0.05,0.0,0.0,0.0,0.15
12,Anam ağlar başucumda oturur,"anam ağlar başucumda oturur
derdim elli iken yüze getirir
bu dert beni yiye yiye öldürür
el çek tabip el çek benim yaremden
ölürüm kurtulmam ben bu yareden
anama babama bir sözüm kalmadı
bir su ver demeye yüzüm kalmadı
doktora tabibe lüzum kalmadı
el çek tabip el çek benim yaremden
ölürüm kurtulmam ben bu yareden
",halk,0.07,0.22,0.0,0.02,0.0,0.0,0.0,0.07
13,Annem entari almış,"annem entari almış
siyah dalları varmış
keşke sevmez olaydım
yarimin yarı varmış
beyim aman dağlarda dağlarda
koyun güder ovalarda
beyaz giyme tanırlar
seni yolcu sanırlar
senin fidan boyunu
nazar eder yolcular
beyim aman dağlarda dağlarda
koyun güder ovalarda
yatma yeşil çimene
uyur uyanamazsın
verme beni ellere
görür dayanamazsın
beyim aman dağlarda dağlarda
koyun güder ovalarda
",halk,0.04,0.25,0.07,0.02,0.0,0.05,0.0,0.0
14,Arakçının mendedir Ceyran,"arakçının mendedir ceyran
sermişem çemendedir ceyran
alem gözele dönse ceyran
menim gözüm sendedir ceyran
aşığın çoktur senin çoktur
kipriğin oktur senin oktur
derdinden men deliyem
heç habarın yoktur senin yoktur
derdinden men deliyem ceyran
haberin yoktur senin ceyran
sene men gül demirem ceyran
gülün ömrü az olur ceyran
sene bülbül deyerem ceyran
bülbül hoş avaz olur ceyran
aşığın çoktur senin çoktur
kipriğin oktur senin oktur
derdinden men deliyem
heç habarın yoktur senin yoktur
derdinden men deliyem ceyran
haberin yoktur senin ceyran
",halk,0.12,0.25,0.02,0.0,0.0,0.0,0.0,0.31
15,Ayağına giymiş sedef nalini,"ayağına giymiş sedef nalini
aşka düştüm kimse bilmez hâlimi
elimden almak isterler yârimi
yandım insaf eyle zâlim el aman hâlim yaman
sönmez aşkın ateşi hiçbir zaman hiçbir zaman
yüreciğim demir değil taş değil
gözlerimden akan kandır yaş değil
böyle sevda başıma gelmiş değil
yandım insaf eyle zâlim el aman hâlim yaman
sönmez aşkın ateşi hiçbir zaman hiçbir zaman
",halk,0.05,0.24,0.14,0.0,0.0,0.03,0.0,0.03
16,Ayağına potini giymiş yürümüş,"ayağına potinini giymiş yürümüş
sırma saçlarını çözmüş sürümüş
üç etek fistanını giymiş bürünmüş
tarla kenarına grebi düşmüş
oy menderes menderes
bulanık menderes
sen de bencileyin yarsız kal biraz
çeyizi sandıkta basılı kaldı
mehmetin gözleri sulara daldı
kara haberi duyan buna ağladı
bulanık sular ayşeyi yardan ayırdı
oy menderes menderes
bulanık menderes
sen de bencileyin yarsız kal biraz
",halk,0.02,0.23,0.12,0.04,0.04,0.0,0.0,0.02
17,Ayva çiçek açmış yaz mı gelecek,"ayva çiçek açmış yaz mı gelecek
gönül bu sevdadan vaz mı geçecek
bana ettiklerin az mı gelecek
yandım allah yandım yandırma beni
derin uykulardan kaldırma beni
seviyorum diyerek kandırma beni
ayaş yollarından aştım da geldim
boyunu boyuma ölçtüm de geldim
güzeller içinden seçtim de geldim
yandım allah yandım yandırma beni
derin uykulardan kaldırma beni
seviyorum diyerek kandırma beni
ayaş yollarında kervanım mı var
beni öldürmeye fermanın mı var
ağlamaya sızlamaya dermanım mı var
yandım allah yandım yandırma beni
derin uykulardan kaldırma beni
seviyorum diyerek kandırma beni
",halk,0.05,0.27,0.08,0.03,0.03,0.0,0.07,0.0
18,Bağlamam var üç telli,"bağlamam var üç telli imanım
borcum var beş yüz elli
gitti de yörük kızı gelmedi imanım
kocaya da varmış besbelli
amanın imanım şalvar malvarlım
yörük kızın allahına yalvaralım
kesik başı kestane imanım
gölgesi bastı üstüme
kalkın da gidelim baskına imanım
yörüğün de kızının üstüne
amanın imanım şalvar malvarlım
yörük kızın allahına yalvaralım
",halk,0.06,0.17,0.06,0.0,0.08,0.04,0.0,0.06
19,Bahar gelende mende,"bahar gelende mende
bitirem göy çemende
men baharın gızıyam
kömleği kırmızıyam
uçmaya yok kanadım
menim laledir adım
çölünüzü bezerem
elden ele gezerem
başımda al şalım var
yanağımda halım var
yeyilmerem acıyam
çiçeklerin tacıyam
uçmaya yok kanadım
menim laledir adım
çölünüzü bezerem
elden ele gezerem
",halk,0.09,0.07,0.09,0.0,0.0,0.0,0.0,0.25
20,Bahçada gül ağacı,"bahçada gül ağacı güzelim haydi haydi
dibinde iki bacı aman nidelim nasıl edelim
sinemdeki yaramın güzelim haydi haydi
sen olursun ilacı aman ne edelim nasıl edelim
çiçekler ekiliyor güzelim haydi haydi
bahçaya dikiliyor aman nidelim nasıl edelim
sen orada ben burada güzelim haydi haydi
böyle zor çekiliyor aman ne edelim nasıl edelim
bahçana giremiyorum güzelim haydi haydi
halını soramıyorum aman ne edelim nasıl edelim
sînende güller açmış güzelim haydi haydi
el atıp deremiyorum aman ne edelim nasıl edelim
",halk,0.03,0.23,0.14,0.04,0.0,0.23,0.0,0.06
21,Bahçada yeşil çınar,"bahçada yeşil çınar
boyun boyuma uyar
ben seni gizli sevdim
bilmedim alem duyar
nanay gülüm nanay
top kaküllüm
nanay nanay
esmer yarimsin nanay
nanay nanay
esmer yarimsin nanay
bahçalarda gül varı
var git ellerin yari
sen bana yar olmazsın
yüzüme gülme bari
nanay gülüm nanay
top kaküllüm
nanay nanay
esmer yarimsin nanay
nanay nanay
esmer yarimsin nanay
",halk,0.14,0.18,0.05,0.02,0.0,0.0,0.0,0.04
