id,baslik,sarki_sozu,sarki_turu
0,Acem Kızı,"çırpınıp şan ovaya çıkınca
eğlen şan ovada kal acem kızı
kaş altından bakınca
can telef ediyor gül acem kızı
seni seven oğlan neylesin malı
yumdukça gözünden döker mercanı
burnu fındık ağzı kahve fincanı
şeker şerbet bal acem kızı
",halk
1,Açma zülüflerin yellere karşı,"açma zülüflerin yellere
senin zülfün benim telim
bülbül feryad eder güllere
yar benim gülüm
sallama saçların yâr yâr sende bulunsun
azrail misali yâr yâr canım alırsın
etme cefayı yâr yâr kanlım olursun
kul senin kulun
",halk
2,Ah bir ataş ver cigaramı yakayım,"ataş ver cigaramı yakayım
salın gel boynuna bakayım
olur gemilerin direği
yanık olur anaların yüreği
çatal olur efelerin yüreği
vur ataşı gavur sinen ko yansın
arkadaşlar uykulardan uyansın
olur gemilerin direği
yanık olur anaların yüreği
çatal olur efelerin yüreği
",halk
3,Sana olan duyguları bir bilebilsen (Ah le yar yar),"sana olan duyguları bilebilsen
anlayabilsen severdin
i̇çimdeki hasretimi duyabilsen
anlatabilsem benimdin
sana sevdiğim diyemem yalan yalan inan yalan
kara sevdamsın benim duman duman hasretin tüter içimde yanan
le yâr yâr
başımda sevdan
le yâr yâr
geceler kara zindan
le yâr yâr
parçacık canım kaldı onu al
aklıma düştü gözlerin bıçak
silah cehennem
söylenmemiş türkümdün
unutmam seni unutamam
sana sevdiğim diyemem yalan yalan inan yalan
kara sevdamsın benim duman duman hasretin tüter içimde yanan
le yâr yâr
başımda sevdan
le yâr yâr
geceler kara zindan
le yâr yâr
parçacık canım kaldı onu al
",halk
4,Ahu gözlerini sevdiğim dilber,"ahu gözlerini sevdiğim dilber
sana sözüm var diyemiyorum
bilmem deli miyim mecnun gezerim
sırrımı ellere veremiyorum
derdimi ellere diyemiyorum
helal olsun al yanaktan aldığım
el uzatıp gonca gülün derdiğim
i̇nce belini dilini sevdiğim
kırılsın kollarım duramıyorum
al yanaktan aldıcağım azıktır
tarama zülfünü gönlüm bozuktur
öksüzüm garibim bana yazıktır
yanına varamıyorum
",halk
5,Ah yalan dünyada (Neşet Ertaş),"ağladın yandın
bende gülemedim yalan
beni mutlu sandın
gülemedim yalan ömrümü yere çalan
yalan yalan
yüzüme gülen
ağladın canım yandım
dünyayı mutlu sandın dünyayı gönlümce olacak sandım
yere ağladım yandım yere aldandım kandım
gülemedim yalan rengi gözümde solan
yalan yalan
yüzüme gülen
bilirim sevdiğim kusurun yoktu
sana benim hayalim çokdu
felek bulut üstüme yağdı
yaşları gözüme dolan
yalan yalan
yüzüme gülen
yemek içmek tadım kaldı
bülbül feryadım kaldı
alamadım muradım kaldı
gidip ellere kalan
yalan yalan
yüzüme gülen
",halk
6,Al Alma Boyanır mı,"al alma boyanır
sevsem yar uyanır

buna can dayanır
al almam dalda kaldı
gözlerim yolda kaldı
erdi eller muradına
dilde kaldı
al almanın dördünü
sev sevenin merdini
sevenler bilir
gönül derdini
",halk
7,Allı durnam bizim ele varırsan,"allı durnam bizim ele varırsan
şeker söyle kaymak söyle bal söyle
gülüm gülüm kırıldı kolum
tutmuyor elim durnalar
gülüm gülüm yar gülüm
gülüm gülüm durnalar
bizi sual eden olursa
boynu bükük benzi soluk yar söyle
gülüm gülüm kırıldı kolum
tutmuyor elim durnalar
gülüm gülüm yar gülüm
gülüm gülüm durnalar
allı durnam gezersin havada
arabam kırıldı kaldım
gülüm gülüm kırıldı kolum
tutmuyor elim durnalar
gülüm gülüm yar gülüm
gülüm gülüm durnalar
onmamış kulumuşum
akşam olsun allı durnam dön
gülüm gülüm kırıldı kolum
tutmuyor elim durnalar
gülüm gülüm yar gülüm
gülüm gülüm durnalar
",halk
8,Altin hızmav mülayım seni haktan dileyim,"altın hızmav mülayim
seni haktan dileyim
yaz günü temmuzda
terle sileyim
gün gördüm günler gördüm
seni gördüm şâd oldum
altın hızmav incidi
gömleği nariçidi
menim lâl olmuş dilim
dedi yar incidir
gün gördüm günler gördüm
seni gördüm şad oldum
altın hızmav tomağa
yaraşır al yanağa
gel görüşelim
gidirem irağa
gün gördüm günler gördüm
seni gördüm şad oldum
",halk
9,Al yanak allanıyor,"al yanak allanıyor
yazması pullanıyor
yar çıkmış karşımda
dal sallanıyor
etme bana nazı
gel bize
yar seni alırdım
baban olsaydı razı
al yanak gül gül olur
sırma saç tel tel olur
yarim çıkma
seni gören delolur
etme bana nazı
gel bize
yar seni alırdım
baban olsaydı razı
al yanak pembe pembe
sevdan uyandı bende
sevdan yanıyorum
sende
etme bana nazı
gel bize
yar seni alırdım
baban olsaydı razı
al yanak gül gül olur
sırma saç tel tel olur
yarim çıkma
seni gören delolur
etme bana nazı
gel bize
yar seni alırdım
baban olsaydı razı
",halk
10,Aman avcı vurma beni,"avcı vurma beni
dağın aybalam maralıyam
maralıyam yaralı
avcı vurmuş aybalam yaralıyam
taş attım çaya düştü
çaydan çift aybalam suna uçtu
menim gönlüm sana düştü
senin gönlün aybalam kime düştü
dağlarda ceyran gezer
tırnakları aybalam taşlar ezer
yara neylemişem
yar benden aybalam kenar gezer
",halk
11,Aman aman Bağdatlı,"amman amman bağdatlı
yanağı baldan
günü yâr koynunda
yaz günü sahra
amman meleğim
edeyim
seko seko seko
gel yanıma
bağdata giden olsa
halimden bilen olsa
seni yıkarım bağdat
yârime ziyân osa
amman meleğim
edeyim
seko seko seko
gel yanıma
bağdata tel vuruldu
akan sular duruldu
benim cahil gönlüm
güzele vuruldu
amman meleğim
edeyim
seko seko seko
gel yanıma
",halk
12,Anam ağlar başucumda oturur,"anam ağlar başucumda oturur
derdim yüze getirir
dert beni yiye yiye öldürür
el çek tabip el çek benim yaremden
ölürüm kurtulmam yareden
anama babama sözüm kalmadı
su ver demeye yüzüm kalmadı
doktora tabibe lüzum kalmadı
el çek tabip el çek benim yaremden
ölürüm kurtulmam yareden
",halk
