baslik,sarki_sozu
Nice bir uyursun uyanmaz mısın,"Ah nice bir uyursun, uyanmaz mısın?
Göçtü kervan kaldık dağlar başında.
Çağrışır tellallar inanmaz mısın?
Göçtü kervan, kaldık dağlar başında.

Emir Hac göçeli hayli zamandır,
Muhammed cümleye dindir, imandır.
Delilsiz gidilmez, yollar yamandır,
Göçtü kervan, kaldık dağlar başında.

Bülbül olup dost bağında ötegör
İyi amellerle yükün tutagör
Efendimin kervanına yetegör
Göçtü kervan kaldık dağlar başında

Yunus sen bu dünyaya niye geldin?
Gece gündüz Hakk'ı zikretsin dilin.
Enbiyaya uğramaz ise yolun,
Göçtü kervan, kaldık dağlar başında."
A Sultanım sen var iken,"A Sultanım sen var iken
Ya ben kime yalvarayım
İsmin Gani, Settar iken
Ya ben kime yalvarayım

Her dem aba puş eyleyen
Türlü derde duş eyleyen
Yunus'u bi-huş eyleyen
Ya ben kime yalvarayım"
Âteş-i aşkınla yandır kalbimi subh ü mesâ,"Âteş-i aşkınla yandır kalbimi subh ü mesâ
Çünkü hayrân olmuşum ben bezm-i elestte sana
Hubb-i dünyâdan ayır al kalbimi senden yana
Ey Habîb-i Kibriyâ ismi Muhammed Mustafa

Ravza-i pâkin efendim cilvegâh-ı enbiyâ
Âşıkânın ruhsat ister kurb-i sultân olmaya
Ger inâyet eyler isen nûr-i Hakk'la dolmaya
Ey Habîb-i Kibriyâ ismi Muhammed Mustafa"
Bu akl-ü fikr ile Mevla bulunmaz,"Bu aklu fikr ile Mevla bulunmaz
Bu ne yaredir ki merhem bulunmaz
Ya Allah Ya Allah Allah Allah Allah
Ya Allah Ya Allah Allah Allah Allah

Kamunun derdine derman bulunur
Şu benim derdime derman bulunmaz
Ya Allah Ya Allah Allah Allah Allah
Ya Allah Ya Allah Allah Allah Allah

Deryalar içinde susuz gezerim
Beni kandıracak umman bulunmaz
Ya Allah Ya Allah Allah Allah Allah
Ya Allah Ya Allah Allah Allah Allah

Yusufum kaybettim Ken'an ilinde
Yusumun bulunur Ken'an bulunmaz
Ya Allah Ya Allah Allah Allah Allah
Ya Allah Ya Allah Allah Allah Allah

Aşkın pazarında canlar satılır
Satarım canımı alan bulunmaz
Ya Allah Ya Allah Allah Allah Allah
Ya Allah Ya Allah Allah Allah Allah

Yunus öldü diye sala verirler
Ölen hayvan imiş aşıklar ölmez
Ya Allah Ya Allah Allah Allah Allah
Ya Allah Ya Allah Allah Allah Allah"
Buyruğun tut Rahmanın,"Buyruğun tut Rahmân'ın tevhide gel tevhide
Tâzelensin imanın tevhide gel tevhide

Sen seni ne sanırsın fâniye aldanırsın
Hoş bir gün uyanırsın tevhide gel tevhide

Hüdâi'yi gûş eyle aşka gelip cûş eyle
Bu kevserden nûş eyle tevhide gel tevhide"
Çıktım erik dalına anda yedim üzümü,"Çıktım erik dalına, anda yedim üzümü
Bostan issi kakıyup, der ne yersin kozumu

Kerpiç koydum kazana, poyraz ile kaynattım
Nedir deyip sorana, bandım verdim özünü

İplik verdim çulhaya, sarıp yumak etmemiş
Becit becit ısmarlar, gelsin alsın bezini

Bir serçenin kanadın, kırk kağnıya yüklettim
Kırk çift dahi çekmedi, şöyle kaldı yazılı

Bir sinek bir kartalı, salladı vurdu yere
Yalan değil gerçektir, ben de gördüm tozunu

Bir küt ile güreştim, elsiz ayağım aldı
Güreşip basamadım, göyündürdü özümü

Kaf dağından bir taşı şöyle attılar bana
Öğlelik yere düştü, bozayazdı yüzümü

Balık kavağa çıkmış, zift turşusun yemeğe
Leylek koduk doğurmuş, bak a şunun sözünü

Gözsüze çu el eyledim, sağır sözüm anladı
Dilsiz çağırıp söyler, dilimdeki sözümü

Bir öküz boğazladım, kakladım sere kodum
Öküz issi geldi eydür, boğazladın kazımı

Anda da kurtulmadım, nidesimi bilmedim
Bir çerçi de geldi eydür, kanı aldın gözgümü

Gördüm kaplubağayı, yanın seğirdüpdür gider
Sordum kanda gidersin, Kayseriyedir azimi

Yunus bir söz söylemiş, hiç bir söze benzemez
Münafıklar elinden, örttü mana yüzünü"
Dermân arardım derdime derdim bana dermân imiş,"Dermân arardım derdime derdim bana dermân imiş
Bürhân sorardım aslıma aslım bana bürhân imiş hay hay

Bürhân sorardım aslıma aslım bana bürhân imiş
Sağı solum gözler idim ben dost yüzünü görsem deyü

Ben taşrada arar iken ol cân içinde cân imiş hay hay
Ben taşrada arar iken ol cân içinde cân imiş

Öyle sanırdım ayrıyam dost gayrıdır ben gayrıyam
Benden görüp işiteni bildim ki ol cânân imiş hay hay

Benden görüp işiteni bildim ki ol cânân imiş
Savm-u sâlât-u hac ile sanma biter zâhid işin

İnsân-ı Kâmil olmaya lâzım olan irfân imiş hay hay
İnsân-ı Kâmil olmaya lâzım olan irfân imiş

Kanden gelir yolun senin ya kande varır menzilin
Nerden gelip gittiğini anlamayan hayvân imiş hay hay

Nerden gelip gittiğini anlamayan hayvân imiş
Mürşid gerektir bildire Hakk'ı sana Hakk'al-yakîn

Mürşidi olmayanların bildikleri gümân imiş hay hay
Mürşidi olmayanların bildikleri gümân imiş

Anla hemen bir söz dürür yokuş değildir düz dürü
rÂlem kamû bir yüz dürür gören anı hayrân imiş hay hay

Âlem kamû bir yüz dürür gören anı hayrân imiş
İşit Niyâzî'nin sözün bir nesne örtmez Hakk yüzün

Hakk'dan ayân bir nesne yok gözsüzlere pinhân imiş hay hay
Hakk'dan ayân bir nesne yok gözsüzlere pinhân imiş"
Erler demine destur alalım,"Erler demine destur alalım
Pervâneye bak ibret alalım
Aşkın ateşine gel bir yanalım
Dost dost dost dost

Devrana girip seyran edelim
Eyvâh demeden allah diyelim
Lâ ilâhe illallâh lâ ilâhe illallâh
Lâ ilâhe illallâh hû

Günler geceler durmaz geçiyor
Sermayen olan ömrün bitiyor
Bülbüllere bak efkan ediyor
Ey gonca açıl mevsim geçiyor
Dost dost dost dost

Devrana girip seyran edelim
Eyvâh demeden allah diyelim
Lâ ilâhe illallâh lâ ilâhe illallâh
Lâ ilâhe illallâh hû

Ey yolcu biraz sen dinle beni
Kervan geçiyor sen kalma geri
Yusuf denilen dünya güzeli
Fethetti bugün kalbi seferi
Dost dost dost dost

Devrana girip seyran edelim
Eyvâh demeden allah diyelim
Lâ ilâhe illallâh lâ ilâhe illallâh
Lâ ilâhe illallâh hû"
Gelin gidelim Allah yoluna,"Gelin gidelim Allah yoluna
Feryâd edelim Alah yoluna

Bir yılı bir gün, gelecek ol gün
Süregel yüzün Allah yoluna

Derdine düşme yolundan şaşma
Hiç şerik koşma Allah yoluna

Yunus'un sözü kül olmuş özü
Kan ağlar gözü Allah yoluna"
Mestâne-i aşka ben ayamadım,"Mestâne-i aşka ben ayamadım
Ezelden ağladım, hiç gülemedim
Cümle âlem yanar âh u zârımdan
Vech-i îcad neymiş, ben bilemedi"
