baslik,sarki_sozu
Sagopa Kajmer - Istakoz,"Yunus içine döndü, dışına baktı kaos var
Demir atmak istediğim ıslak limanlarda lodos var
Fokurdayan suda kaynayan kıskaçlar
Kaynar kazanda ıslık çalıp duran ıstakozlar
Öyle güçlü sesim var ama kalpsiz kulağı kulaksız
Canımı ölümlerden çekmeye bu güç yetersiz
Dinsin ateş arsız, yanık içim alevsiz
Gördüklerim doğruysa, bu çekip gidiş vedasız
Benimle yaşlandılar ama benden önce öldü anılarım
Şu sudan kabarcıklar, ölüm tanıklarım
Yok ki topum tankım
Ardımdan kaynar, su döker kepçeler yanar her yer, her yerim
Hepsi gayet farkındalar, ruhum ölüme dalar
Dalan dalıp gider, dalını terk eder yaprak ölür
Sesim artık gidercesine güçsüz
Sirenlerim bağırmaktan aciz
Ateşle taciz!
Birden, birden bire olup bitiveriyor
Kâbus da rüya da aynı
İkisi de geçiyor, ömür gibi, vakit gibi
Dünya bir efsane, bizler hikâye
Bi' söz ülkesidir Rap
Mânâdan mânâya, deryadan deryaya
Birden, birden bire olup bitiveriyor
Kâbus da rüya da aynı
İkisi de geçiyor, ömür gibi, vakit gibi
Dünya bir efsane, bizler hikâye
Bi' söz ülkesidir Rap
Mânâdan mânâya, deryadan deryaya
Hey! Mektupu al, derdimi gör, pirimi bul
Halini sor, er ya da geç yollar bir
Ah zaman ahir
Alametten alamete gider devir
Vah dervişim yollar taş, fallar boş, işler yaş
Sallanıyor tepede geçmişin kopardığı onca kesik baş
Sen sarhoş, ben geçmiş, kim bulmuş, kim ermiş?
Gönül sualle taştı doldu
Gassalın biriyle iki kelâm dilime hasıl oldu
Vardı yanıma dedi: ""Yaşam ölüm kadar soğuktu!""
""Medet"", dedim ""Ya Hak"", içim dedi ""Kalk, kalk, kalk
Geceyi yırt ve ileri bak, güneşin orada bak!""
Hadi bir an düşün, hayat çetin oldu
Ecel meçhul vakit, gelir vakit sakit
Ceset aldı yolunu, bir yol buldum avundum
Ben en doğru bildiğim yolu sonuna kadar savundum
Hasretimin kopmayan iplerine sıkıca tutundum
Melankolia'da bir balon bulup uçtum, uçup durdum
Gördüm ki kim kime, dum duma insan-ı yurdum
Sordum: ""Neden bu yolsuzluk, yolsuz dostum?""
Birden, birden bire olup bitiveriyor
Kâbus da rüya da aynı
İkisi de geçiyor, ömür gibi, vakit gibi
Dünya bir efsane, bizler hikâye
Bi' söz ülkesidir Rap
Mânâdan mânâya, deryadan deryaya
Birden, birden bire olup bitiveriyor
Kâbus da rüya da aynı
İKisi de geçiyor, ömür gibi, vakit gibi
Dünya bir efsane, bizler hikâye
Bi' söz ülkesidir Rap
Mânâdan mânâya, deryadan deryaya
Çek çek yo
Koşu koşu dur
Koşu koşu dur
(DJ Mic Check)
Koşu koşu dur!
Beni ancak bir âmâ gördü
Göremeden anladı neler hissettiğimi
Dert size zeval olmaz
Bana ancak dilsiz anlattı
Dili olanın dile getiremediklerini
Teşbihte kusur olmaz (DJ Mic Check! Hadi tekrar gazla!)
Koşu koşu dur (check, check, check)
Koşu koşu dur
Koşu koşu dur (koşu koşu dur)
Koşu koşu dur (koşu koşu dur)
Koşu koşu dur"
Ezhel - Felaket,"Güneşi gülüşüne nasıl sığdırdın?
Döndürür kalbimi çöle
Gözünden akan yağmurlar
Döndürür çölleri sele
Saçına kopan fırtınalar
Eserken ruhumda hala
Dediler bu kız neymiş?
Dedim Felaket felaket!
Felaket
Bu kız bi' afet bi' afet
Gözün gözüme değse
Kopar kıyamet kıyamet
Yarattın dünyamda zelzele
Hala sallanır bu hergele
Kaybettim kalbimi ben yine
Ah felaket felaket
Bombalar yağar bu şehre seviştiğimizde
Darbeler vurur ruhuma
Seni düşünüp her içtiğimde maddeler
Susarım sana konuşamam açım susarım sana
Seni bana beni sana hiç anlatamadım çok
Fırtınaların koptu dalgaların boğdu
Yalanlarım çoğaldı
Yarınlarım lavlarının en altında kaldı
Hiddetinin şimşeği tüm şiddetiyle çarptı
Ne özleminin yüceliği uçurumdan farklı
Ne yüzde biri kadar cehennemin sana rahat
Evim çatım pencerem kapım şu başımdan uçtu
Gök yere düştü sıyrıldı sıktı
Fena fena pek
Hem aşk hem lanet
Her an devam hep
Bela ve zahmet
Felaket
Bu kız bi' afet bi' afet
Gözün gözüme değse
Kopar kıyamet kıyamet
Yarattın dünyamda zelzele
Hala sallanır bu hergele
Kaybettim kalbimi ben yine
Ah felaket felaket"
Sansar Salvo - Bela,"Başıma bela olanlara bi' deva, deva
(Motif fucking prays to space)
Başıma bela olanlara bi' deva (ah, ah)
Deva (deva, deva)
Başıma bela olanlara bi' deva (deva, deva, deva)
Deva (deva)
Kolay mı lan?
Dam durmadı tepemde bazen
Gecem olaylı
Ve onaylanan kalantör kazandı
Biz aynı terhaneye uzayalı durmadık
Alayına kurmalı aklımı çekmeli vurmalı haklısın
Olmalı yankısı duymalıyım, günüm aymadı
Kalktım uyanmadım olmadı
Gün bana doğmadı bul malı
Olmadı kor kanıyı
Kalkar kınar kankam da yattı
Kınarken karanlıklarda kaldı
Kurarken kafamda bir haberdim
Kankam bembeyaz yolda kaldı
Parçalar saçıldı yol kapandı
Telefon kapandı şokta kaldım
Saatler oldu ses yoktu artık
Bazen beraber yol yapardık
Küçüktü benden ama sert adamdı
Ufaktan aykırı sert adamdı
Tüm hayalleri kurmakla kaldı
Ülkesini severdi mert adamdı
Kaç yıllık dostumun olmadığı
Dandik anlarıma şahitti de
Bekletirdi bi' de çektim çile
Geldi gitmedi oturduk yine
Başıma bela olanlara bi' deva (ah, ah)
Deva (deva, deva)
Başıma bela olanlara bi' deva (deva, deva, deva)
Deva (deva, deva, deva)"
Norm Ender - Mekanın Sahibi,"Sabah yaptım krep krep
Ne güzel oldu breh breh
Sardım yedim wrap wrap
Kafam düştü direkt direkt
Her yer olsa da kezban, tırrek
Yatamam evde yatak döşek
Çıktım dışarı, açtım trap
Kafam şimdi fişek fişek
Oh yeah, geceler
Cihangirli heceler
Elit, foşik turistler
Sokaklar ve polisler
Viski döküp sevişelim
Natali diyor ""Peşin aliyim""
Dedim ""Tamam, hadi canim""
Bizde küvet yok, duşakabin
Oh yeah, çılgın genç
Bu iş böyle Rolex, Range
Sizin tayfa bitch bitch
Bizim tayfa rich rich
Oh yeah, çılgın genç
Bu iş böyle Rolex, Range
Sizin tayfa bitch bitch
Bizim tayfa rich rich
Keltoş babana koş
Trap böyle yapana hoş
La bebe koş, la bebe coş
Siz Windows, ben Macintosh
Mandingo Norm Ender
Benim kamış Dolce
Oturan diyor ""Mor minder""
Hater'larım O.Ç.
Bebeler, bebeler
Popüler kültüre köle gibi yapış ama lafa gelince Marley, 2Pac
Tabii, yüzüne bi' dövme, demode bi' Reggaeton'a bas autotune'u ol Lil Pump
Ama beni Hitler gibi kariyerimle tehdit eder Pozitif'ten Elif Cemal
Ben boyun eğmem, soyunu disslerim, çıldırtırım etnik faşistleri
Umurumda değil kuliste otlayan, sürekli koklayan zifoslar
Ve beni dinler devrimci gençler, sizi yavşak lümpen Migos'lar
Kafası testis gibi sirk maymunları istiyorsa 'Orman Kanunları'
O zaman güçlü zayıfı ezecek, size yok sosis salam, şırdan şırdan
Ey! Ey! Hadi bakalım
Gucci Gang, Gucci Gang nası' yapalım?
Mekânın sahibi geri geldi
Bebeleri pistten alalım, alalım
Ey! Ey! Hadi bakalım
Gucci Gang, Gucci Gang nası' yapalım?
Mekânın sahibi geri geldi
Bebeleri pistten alalım, alalım
Ey! Ey! Hadi bakalım
Mary Jane, Mary Jane nası' yapalım?
Mekânın sahibi geri geldi (Kalkın lan!)
Bebeleri pistten alalım, alalım
Ey! Ey! Hadi bakalım
Mary Jane, Mary Jane nası' yapalım?
Mekânın sahibi geri geldi
Bebeleri pistten alalım, alalım
""Özgürlük"" deyip uyuşmayın
Basını, tizini, sesini açın
Hip Hop'u bok edecekseniz eğer
Polisten değil, siz benden kaçın
Ey! Ey! Ey!
Kraldan kaçın
Ey! Ey! (Sülalen için)
Hıdıdı hıdıdı, al bitch! "
Ben Fero - Mahallemiz Esmer,"Şehir dışı semtimiz semt fizikler hep sentetik hep
Biladerim her çeşit her mahallede yok etik bilader
Nefes tutup çek tetik çek nişancı bu genetik genetik
Zencilerim atletik (jump) tüketilir at eti çünkü
Kaşlar çatık kesat işler nigga kaş
Nerden çözdün altın dişler nigga çöz
Amir paket eder fişler nigga fiş
Paket olan kaderini dissler nigga diss
Orman kanunları nigga yavaşlama biçerim bitch
Güzelbahçe paf küf viski konyak içerir iç ulan
Remy Martin işerim Remy Ma nigga özel üretim piç
Mahallemi rich edip rich tamamlarım işimi iş
Ara ki bul eşimi bul çok severim peşini cash
Senelerdir bırakmadı bodycilik peşimi bodyci
Bicepslerim iyidir bas beyaz ananem gibidir anane
O da benle hemfikir o barfiks sike çekilir sik
Yeşiliniz benim burda 5 para etmez
Unutturur bildiğini eşgaller leşler
MTV base'ler her zaman haze'ler
Derindir nefesler mahallemiz esmer
Yeşiliniz benim burda 5 para etmez
Unutturur bildiğini eşgaller leşler
MTV base'ler her zaman haze'ler
Derindir nefesler mahallemiz esmer
Nasıl böyle iyi mi? İyi mi hıdıdı hıdıdı stili hıdıdı
Elektrik gitti yine oyna yirmi birini twenty one
Yorma hemen dilini dur tez bitirir pilini pil
Auto-tuneum temizler kulakların kirini kir
Trap hiphop bu yenisi teferruat gerisi boş
Raketsiz oynarız tenisi yırtık elin derisi hah
Hennessy Hennessy Hennessy hennessy içte göbek erisin iç
Bas daha çok yenisin piç iki kemik ve derisin
Buzlarımı eritir buz rapin dirisi irisi rap
Beat şekilli birisi çok ikimiz en iyi bitirim en iyi
Chris Paul'la Sakal gibi çok roket bi' ikili çaf
Özdereden Dikili Sound Check bir iki bir iki İzmir
Cash'ler döner gangster nigga cash
Keyfimiz güzel herkes ister nigga keyf
İster Fero istersen Nigga Fero
Anladın mı mahallemiz esmer nigga nigga
Yeşiliniz benim burda 5 para etmez
Unutturur bildiğini eşgaller leşler
MTV base'ler her zaman haze'ler
Derindir nefesler mahallemiz esmer
Yeşiliniz benim burda 5 para etmez
Unutturur bildiğini eşgaller leşler
MTV base'ler her zaman haze'ler
Derindir nefesler mahallemiz esmer
Mahallemiz esmer
Mahallemiz esmer"
Anıl Piyancı - Esrarlı,"Estağfurullah, fetva bu dezenfekta

Ufuk'ta rapstar, memeler me sebep
Esma gururda, esrar şuurda pezevenk ya
Bu uğurda pes ya, demene ne gerek var
Küsemiyorum kadere, hatalar benim
Sövemiyorum feleğe, hatalar benim
Bilemiyorum nerede, hatam var benim
Hatalar satır aralarında
batağın lan senin
Atta gidelim he, hatta
ce-ee, fucked up bebe
Takım taklavat takın altkat yere
Mafakı rakım underground matap fene
Bağ nigga yakın aygırlar maafak rape
Bu davada verilen şehitlerden şahta
Bu sabahta bilinen şehinlerden şah
Bak bak ta derinlerde emi beyin patlar
En iyi dediğinin en iyi
şehin'e şehin çalmak

Uzanıp öyle sessizce, dilerim

bazen gözlerimi kapatıp
Yaşananlar bir film
gibi beynimde döndükçe
Usanır kalbim olur olmaz savaşlardan,
iyi kötü aklımda karışır
Yol aldıkça, tükenir hislerim
eskisi gibi saf değil

Uzanıp öyle sessizce, dilerim
bazen gözlerimi kapatıp
Yaşananlar bir film
gibi beynimde döndükçe
Usanır kalbim olur olmaz savaşlardan,
iyi kötü aklımda karışır
Yol aldıkça, tükenir hislerim
eskisi gibi saf değil

Kafamın içinde, benimle konuşan

Sanki biri var, benimle savaşan
Yolumu kesip önüme çıkmaya çalışan
Bedenimin içine girip benimle yaşıyan
Peki neden? Sürekli beni dener?
Kafamı karıştırıp, hep sonra geri gider
Kanıma girer o kötü olanı sever
Beni iter geçer, kötü olanı seçer
Hırs yaptım ona karşı, mücadele
İçine girdi sanki bu müsabere
Ediyo, devam şuan ama berabere
Başaramadın, şimdi kalk! Bida dene
Artık seni tanıyorum, içimdeki şeytan
Seni duyuyorum vede okuyorum meydan
Çık karşıma benim, vazgeç bu avdan
Şehinşah ve Anıl
(asla!)
çıkmaz bu raydan

Uzanıp öyle sessizce, dilerim

bazen gözlerimi kapatıp
Yaşananlar bir film
gibi beynimde döndükçe
Usanır kalbim olur olmaz savaşlardan,
iyi kötü aklımda karışır
Yol aldıkça, tükenir hislerim
eskisi gibi saf değil

Uzanıp öyle sessizce, dilerim
bazen gözlerimi kapatıp
Yaşananlar bir film
gibi beynimde döndükçe
Usanır kalbim olur olmaz savaşlardan,
iyi kötü aklımda karışır
Yol aldıkça, tükenir hislerim
eskisi gibi saf değil"
Ados - Pişman Olup Sonra,"Bugün mavinin tonu yok, benim yüzümden.

Bugün ne yanda bakarsan bak,rüzgarım gri
Usulca gezdim, yitik saçlarında şehrin.
Usandım insan olan yanımdan, yenildim.

Ne kalıp bir durakta,ne çıkıp maveradan.
Ne günüm açtı,
karanlık gitmiyor hiç başımdan.
Sende duruldunya,buaralar biraz buruğum.
Hep öyle söylesemde pek iyideğil durumum

Elbet uzlaşır
bu iki yakam birgün tamamda
O gün ben kalır mı,
bu etten bedenden arda?
Neyine lazım olam bu dünyanın?
Olsam da olur burada,
eminim ben olmasam da.

Sorsan da olur beni bugün,
bir daha sormasan da.
Kulaklarımda çınlamaz,
sesin seni duysam da.
Bugün geriye bakmam,
inan boynumu kırsan da.
Uysam da olur şeytana,
artık hiç uymasam da.
Uysam da olur şeytana,
artık hiç uymasam da.

Ah şu ellerim, tırmanıyor sandı gökleri.

Oysa diplere doğru kazdık, ses etmedi.
Kendime mahcubum, bir
tek kendime yetmedim.
Bitmedi mücadelem, bilmedim pes etmeyi.

Nasıl olur da gerekliliktir ki bırakmak?

Dedim ki derde sarıldım,
bir daha bırakmam.
Bilirim ki pişmanlık,
en büyük yokluk bana.
O yüzden sonunu görmek
istedim, sardım başa.


Düşünmeden yaşamak gerek belli ki.
Elime ne geçti? Aklımı tükettim
öylece gitti. (Söyleme bittim!)
Hayasız öfke ve bitkin
bir ruhla dolaştım.
Çölün de yolların da en sonu bitti.

Korkarım ki, küçüldükçe küçüldü dünya.
Ne bir diken üstünde yaşam,
ne de bir macera.
Kabullendim her şeyi, sinemde tamam da.
Her şeyin ne olduğunda var bir muamma.

Benim de canım var dedikçe,

eksilir ya candan.
Sımsıkı tutundukça,
düşersin ya rüyalarda.
Denize mavi desen de,
şeffaftır ya aslında.
Yarını beklemek de,
benim için bu kadar saçma.

Aklımda ne kalmak var,
hemde bir yere gidip kaçmak.
Artık içimi bu dünyada açmam.
Kendimle baş başayım, yoksa yorulurum.
Sahibiyim zamanın, elbet onda boğulurum.

Ah şu ellerim, tırmanıyor sandı gökleri.

Oysa diplere doğru kazdık, ses etmedi.
Kendime mahcubum,
bir tek kendime yetmedim.
Bitmedi mücadelem, bilmedim pes etmeyi.

Nasıl olur da gerekliliktir ki bırakmak?

Dedim ki derde sarıldım,
bir daha bırakmam.
Bilirim ki pişmanlık,
en büyük yokluk bana.
O yüzden sonunu görmek
istedim, sardım başa.

Ah şu ellerim, tırmanıyor sandı gökleri.

Oysa diplere doğru kazdık, ses etmedi.
Kendime mahcubum,
bir tek kendime yetmedim.
Bitmedi mücadelem, bilmedim pes etmeyi.

Nasıl olur da gerekliliktir ki bırakmak?

Dedim ki derde sarıldım,
bir daha bırakmam.
Bilirim ki pişmanlık,
en büyük yokluk bana.
O yüzden sonunu görmek
istedim, sardım başa.

Ah şu ellerim, tırmanıyor sandı gökleri.

Oysa diplere doğru kazdık, ses etmedi.
Kendime mahcubum,
bir tek kendime yetmedim.
Bitmedi mücadelem, bilmedim pes etmeyi.

Nasıl olur da gerekliliktir ki bırakmak?

Dedim ki derde sarıldım,
bir daha bırakmam.
Bilirim ki pişmanlık,
en büyük yokluk bana.
O yüzden sonunu görmek
istedim, sardım başa.

Ah şu ellerim, tırmanıyor sandı gökleri.

Oysa diplere doğru kazdık, ses etmedi.
Kendime mahcubum,
bir tek kendime yetmedim."
Şehinşah - Kalmam,"Ne kadar ırgalar ha?
De kıskananlar?
Başımda felaket ıhtan harman
Sarın kafam yıkılsın, yakın duman yayılsın
Yoruldum hayattan (hayattan, hayattan)
Sarıldım kafama
Yaşamak Savanna'da daha kolaydır sanırım kanka
Bata çıka yol alırım Araf'ta (ey, ey)
Yürürüm (yürürüm, yürürüm)
Ayaklarım acır ağır hükümlüyüm
Yalanlarım kanıtlar büyüdüğümü
Yükümlülüklerim var (var, var), izdüşümüm düşer üzerine
İşlenirken ""hiç düşünce"" cümle düzenine
Serin kan, rezil heriflerin rezil delilleri var
Delilerin çağ, kaliteli delirmeli yedi beyni mal
Tekin değil tripte herif elinde zar
Yenilmeyi bi' bilsen olur seninle şans!
Derdin nеdir lan?
Sorun Şehinşah, sorun Şehinşah
Sorun Şehinşah d'i' mi?
Yargınız prеnsibiniz algınız değil davam (davam, davam)
Olmadım onlardan n'a'b'iy'im işkencesini Tanrı'nın yerim rahat
Ey, evim rahat, ey
Cehennem'im rahat (rahat, rahat, rahat, ey)
Dargınım diğerlerine, yansın gemiler ağır ağır
Karanlık olur, karışır dolunaya paranoyalar
Aranıyo'muşum, karakola çağırıyo', canlanmıyo' suçum
Gözümde bile, nedir benimle?
Alıp veremedikleri kesin Rap'imle
Yakın geçmişimin derin kesikleriyle
Akıl edemedikleri şey incelikler
İrdeliyecek ipnecikler, peşimde yine (yine, yine)
Gelin değil dert! Milyon tane sorunla boğuşmam bile (bile, bile)
Edin beni red!
Diyor annem; O'nunla konuşmam bile (ey)
Aile denince canlanır gözümde eskiler hep etkilendim derinden
Bari sen gelip de harmanlık özünde hepsi deyip çekiversen elimden
Karma, karma daima aleyhime
Karma, anlayamam bana garezi ne?
Paryanım karma kapıldım ahengine
Karmam, armağanım, lanetim ve kaderim
Karma, karma daima aleyhime
Karma, karma daima aleyhime
İlişkimiz tipik çok
Karma dağ, zaman kaya, bense Sisifos
Adaleti yok (adaleti yok, adaleti yok)
Kanaati yok, (kanaati yok, kanaati yok)
Merhameti yo-ok
Karma dağ, zaman kaya, bense Sisifos
Acelemiz yok
Yanılsamalarım yarım yamalak
Hatırlatın bana ""Nasıl mutlu yaşamak?""
Odaklandım hayatta kalmaya
Yaram da var baya
Sarar zaman yalnızca masallara kan
Apar topar, toz ol
Yansa kor kor Cosmos boş koy
Dosdoğru yazar, yazar arsızca mantık aramaz
Yapmaz goygoy, yo yo, asla!
Sopsoğuk sokakları mosmor göz altlarıyla koş
Kovala dur, kovala kovala boş
Olacak o kadar yol alan bocalar (of)
Hayat çok zor fazlasıyla borç harç
Çer çöp, doğ öl, yaşarken ol ot, al ot
Çek çek, ıhtan
Mongollarla kolkola paradokslarda kaybol
Fosfor almaz idraka dert anlatır iken öl
Rolls Royce'larda klip çekip eve dolmuşla dön
Hayatınız Photoshop orası kesin
Nasıl adamsınız lan zavallılar?
Size sizin gibi mankafalılar kanar orası kesin
Gülünçsünüz siz ünlülük takıntılı bi' sürüsünüz
Virüssünüz dürüst olalım ba-aylar
Biz müzisyen siz düpedüz tüccarsınız
Tracklerinizse süprüntü günü kurtarır
Karmam tura, derim ""Yazı der karmam; Tura""
Buca, Buca, Buca mağaram yuvam
Oldum içe sıça darmaduman
Kura kura kura kudurdular havlarlar
Kuduz köpekler, huzur bulur uyutulursa
Uçar uçtan uca kartallar, buyuz özetle
Kusursuzuz uçtuğumuzda
Süzüldük üstünden etkilendi manitan
Tükürür yüzüne mermileri makinam
Alamut'tan uzar namlumuz o burnunuza
Sarıp sarmalar karmamın kaygıları
Atıp safrayı sakladım şarkılara
Akıl kavramım kalmadı yaktım
Yakmasaydım aranızda nefes alamazdım
Karma, karma (karma, karma)
Karma, karma, karma
Karma, karma, karma, ey
Karma, karma daima aleyhime
Karma, anlayamam bana garezi ne?
Paryanım karma kapıldım ahengine
Karmam, armağanım, lanetim ve kaderim
Karma, karma daima aleyhime
Karma, karma daima aleyhime
İlişkimiz tipik çok
Karma dağ, zaman kaya, bense Sisifos
Adaleti yook
Merhameti yook
Kanaati yok (karma, karma)
Karma dağ, zaman kaya, bense Sisifos
Acelemiz yok
Ey! Acelemiz yok, ey
Acelemiz yok, ey
Karma dağ, zaman kaya, bense Sisifos
Acelemiz yok, ey
Acelemiz yok!, ey
Acelemiz yok, ey
Karma dağ, zaman kaya, bense Sisifos
Acelemiz yok (yok, yok)"
Patron - 3 Yanlış 1 Doğru,"Gidilen her yol mu yanlış
Bu veletler kimlere kanmış
Yerin altında yangın var buna ne demeli bilemem git söndür
Çocuksu hayaller
Ve boş muhabbetler
Ölümüne denemelisin yada kaderini yaşamalısın bir yere varacaksan
Gidilen her yol mu yanlış
Bu veletler kimlere kanmış
Yerin altında yangın var buna ne demeli bilemem git söndür
Çocuksu hayaller
Ve boş muhabbetler
Ölümüne denemelisin yada kaderini yaşamalısın bir yere varacaksan
Beati duymadan belirdi diss kafamda beat ve güm! kelime aklımda
Merak ettiğimiz yok lan kalsın zaten hepsi de senin hakkında!
At bunları çöpe yeraltı fondip patron nigga yolun en başında
Kinime kilidi vurabilecek sen dahi bu rap bana engel
Dissimi beklemeden atacaksam dahi sus rap buna benzer
Yeraltı mafiş amin abi rap bu kalbe katil aksi istikamet
Yolumuz uzun ve yorucu konumum yorgun olgu zordaysa da durumum
Takdire ne lazım rapçi dersem elma, ibne dersem armut ol defol
Yerin altına girene dek duman görür gönül hali fali malum off
İçerisi ateşten geçilmez, kafir alimlerce zalim bu yavru koç
Manita mesir yiyince görmez önünü salak oysa namlu boş
Genemi benim bedeli günahın kenemi kemirdi senin suratı
Göte koyunca tur atıp bu kuralı dumanın beni vuranın muradı yok
Bira üstüne hüüp kafa zum adı yok
Bileti kesilen Adamın açılır alnı, kangren dekan seçen vekil aklı
Başkası tarafından tutulan Tasması anahtar altında paspasın
Eğer kafana bişey koyduysan seni kum tanesi gibi zıplatacak
Kafana hip hop, koyduysan seni sahnede ben gibi parlatacak
Önce saygı duyda dinle kuyudan inme duyum alarak uymaz kimse
Su uyur Uyumaz düşman eder dostu köle, oysa bense kunta kinte
Gidilen her yol mu yanlış
Bu veletler kimlere kanmış
Yerin altında yangın var buna ne demeli bilemem git söndür
Çocuksu hayaller
Ve boş muhabbetler
Ölümüne denemelisin yada kaderini yaşamalısın bir yere varacaksan
Gidilen her yol mu yanlış
Bu veletler kimlere kanmış
Yerin altında yangın var buna ne demeli bilemem git söndür
Çocuksu hayaller
Ve boş muhabbetler
Kadı kızı kim sana söyledi bu yalanı
Yalakalık adın arı gibi çalışın siz
Kime Vaftiz niye var diss? Kime tasdik yanık bağrın el pençe plastik
Plan 1 elime dolanan o saçı yolabilir ve double platin
Plaket ikide dikine gide me tohumu gelse ekim e fakin
Şişme bir gocuk iş yapamaz gocun
Varsa yaran seni yaran Mı var
Seni saran bu bar atla kubar bağla ata harman taylar benden medet umar
3 buçuk atar ama yan yatar uçuk o mangal sucuk
Karı cephede bir pusu cuk
Cuk diye rhyme ucu kaçmış mucuk
Kaymaz kauçuk kuçu, gel kuçu kuçu kuçu
Otomatik uzi belime takıp u dönüşünü yaptığım her
Kavşak artık benim Kendime liderim ekip ölümüne doğru
Son hedefe dönebilen o otorite kendim
Birikim Kendim
Kazık atın doğru
Satıcısınız yanlış
Ben en iyi doğru
Bu metazori yanlış ateşe kodumun odunu yanmış o doğru yalanmış
Yanlış
Kamerayı şöyle bana bi çevirme kapana kapanla savaş açılmaz
O bi kapanmayan
Yara kanı kabuk olur acısı geçene kadar onu kanatanı unutanın adı
Kanar ya yakan alevini sakın asıl o
Körüğe mezara bi kazı yapın asıl azana bi asılın
Ateşe bi atılın asıl hası benim
Asırın en arkaya çakılın en öndeyim bakının
Gidilen her yol mu yanlış
Bu veletler kimlere kanmış
Yerin altında yangın var buna ne demeli bilemem git söndür
Çocuksu hayaller
Ve boş muhabbetler
Ölümüne denemelisin yada kaderini yaşamalısın bir yere varacaksan
Gidilen her yol mu yanlış
Bu veletler kimlere kanmış
Yerin altında yangın var buna ne demeli bilemem git söndür
Çocuksu hayaller
Ve boş muhabbetler"
Murda - Gel Hadi Gel,"Ja, yeah, yeah
Yeah, yeah, ah, ja
Ih, yeah
Ey, gece gündüz para peşinde, ja
Spankito, spankito, spankito
Ja, ja
Ah
Gece gündüz para peşinde
North Face ceketimde büyük deste
Bad lil' bitch çok esnek, Hennessy kız her sefer
Goofy gelemez ki şehrime
Yeah, Louis V belimde (oh)
Yeah, ey, ey (oh)
Şerefe yaklaştık, hedefe (oh, oh, brra, ey, wouh)
Gece gündüz bu şehirde (şehirde, pow, pow, pow, ey)
Sokaklarım tehlike (tehlike, ey)
Konuşurum kendi kendime (kendime, ey, ey)
Yanarım ben yine derdime (ah, wow)
A P, Rolex, bad bitch, bol sex
Gacı havalı like hostes
Chetori, habibi, koskesh
Gireyim son kez, Amiri, dom flex
Shawty hou op met je nonsens
Ghetto boy eskiden boş hep
Şimdi sahne fiyatımız on beş
VVS pırlanta boynumda oynuyo' misket
YSL çizme, masamda dostlarım var başka kimse
Ah, düşmanımı çiğnedim sanki çiklet
Yeah, baby girl ride me, sanki bisiklet
Yeah, Amsterdam İstanbul fly first class
Yeah, bi' cepte hash bi' cepte cash
I am fast like, yeah
Söylediklerin yalanlar, gerçekleri örtemez
O şeyi ver, bense viral
Platinum plaques like, yeah
Gece gündüz para peşinde
North Face ceketimde büyük deste
Bad lil' bitch çok esnek, Hennessy kız her sefer
Goofy gelemez ki şehrime
Yeah, Louis V belimde (oh)
Yeah, ey, ey (oh)
Şerefe yaklaştık, hedefe (oh, oh, brra, wouh, ey)
Gece gündüz bu şehirde (şehirde, pow, pow, pow, ey)
Sokaklarım tehlike (tehlike, ey)
Konuşurum kendi kendime (kendime, ey, ey)
Yanarım ben yine derdime
Dresscode, Sex love, Ahshouns im Backstage (heh)
Gib keine Hand, keine Handshakes, weil ich jetzt so wie King James leb'
Zu viel Drip in meiner Iced out, bin rich, eine Milliarde Klicks
Bruder, sag, wer bringt mehr Hits? Dein Hate bringt nix, weil mir Gott gibt (wouh)
Hadi gel gidelim, bedeli'de neyse, senden vazgeçmem
Ey, gülüm, inan bana, ben asla pes etmem
Şişe Cîroc, kafa pilot, bura karanlık like Batman
Ghetto'nun havası soğuk ve bizim bu çocukların cebi broke
Loco, sie nennt mich Papi (uhh), uh, yanıma gel, yanıma gel, yanıma gel
Cepler full, gece gündüz kafa dönüyor
Gözleri mavi, ich lebe zu schnell, lebe zu schnell, lebe zu schnell
FFM, Rotterdam, Mero, Murda
Gece gündüz para peşinde
North Face ceketimde büyük deste
Bad lil' bitch çok esnek, Hennessy kız her sefer
Goofy gelemez ki şehrime
Yeah, Louis V belimde (oh)
Yeah, ey, ey (oh)
Şerefe yaklaştık, hedefe (oh, oh, brra, ey, wouh)
Gece gündüz bu şehirde (şehirde, pow, pow, pow, ey)
Sokaklarım tehlike (tehlike, ey)
Konuşurum kendi kendime (kendime, ey, ey)
Yanarım ben yine derdime"
