baslik,sarki_sozu
"Ahımı, Hicranımı Sakladım","Ahımı, hicranımı sakladım, gizli tuttum
Gönlümü yıllar yılı hayalinle avuttum
O gençlik günlerimiz dönmez asla geriye
Yazık ki dönse bile sevdayı unuttum"
Ah Bu Şarkıların Gözü Kör Olsun,"Öyle dudak büküp hor gözle bakma
Bırak küçük dağlar yerinde dursun
Çoktan unuturdum ben seni, çoktan
Ah bu şarkıların gözü kör olsun

Güzelsen güzelsin yok mu benzerin
Goncadır ilk hali bütün güllerin
Aklımda kalmazdı yüzün, ellerin
Ah bu şarkıların gözü kör olsun

Bir gülüşün var ki kaş çatar gibi
En sıcak sözlerin ayarlar gibi
Hiç bağlanır mıydım çoçuklar gibi
Ah bu şarkıların gözü kör olsun

Sonunda tuz bastım gönül yarama
Nice dağlar koydun nice arama
Seni terkedip de gitmek var ama
Ah bu şarkıların gözü kör olsun"
Al Goncayı Deremedim,"Al goncayı deremedim / Yâr yüksekte eremedim
İşlediğim çevreleri / Bahçesine seremedim
Yârim seni vermem / Seni vermem ellere
Bu aşk beni destan etti dillere

Evlerinde bahar olsam / Yâr göğsünde açıp solsam
Kokladıkça kalbe dolsam / Ben bu aşkta safâ bulsam
Safâ bulsam, Vefâ bulsam
Yârim seni vermem / Seni vermem ellere
Bu aşk beni destan etti dillere"
Arabaya Taş Koydum,"Arabaya taş koydum/hanımım/Ben bu yola baş koydum
Seni gelecek diye/hanımım/Bir yanımı boş koydum
Kekliğim vak vak, ufak ufak ufak bas
Aç kolların sar boynuma/İster öldür ister as
Arabası dört teker/hanımım/Beyoğlu'na kum çeker
Beyoğlu'nun kızları hanımım/İşmar eder, göz süzer"
Anar Ömrünce Gönül,"Seninle doğan gülüdür bu gönül
Ah bu gönül şarkıları
Dilindeki bülbülüdür bu gönül
Ah bu gönül şarkıları
Dolu sevgi tasında gönül
Bir gençlik masasında
İkimiz arasında gönül
Ah bu gönül şarkıları"
Ağlama Sevdam,"Gözyaşımın her damlası sevgidir
Şu hasretlik zor gelse de çekilir
Bir gün olur bu acılar silinir
Ağlama sevdam ağlama sevdam ağlama

Benden ayrı gezme gülüm amandır
Sensiz benim gönül evim talandır
Bu dünya da bir muhabbet kalandır
Ağlama sevdam ağlama sevdam ağlama"
Alın Yazımsın,"Kapıldım sana bir mecnun gibi
Bir gün görmeden duramıyorum
Gündüzüm gecem dilimde hecem
Seni sevmeye kıyamıyorum

Alın yazımsın gönül sazımsın
Aşkım gururum bitmez nazımsın

Yağmurum yazım kışım baharım
Bir tatlı sözüm bir güler yüzüm
Gözlerimde yaş damarda kanım

Alın yazımsın gönül sazımsın
Aşkım gururum bitmez nazımsın

Ümidim arzum şansım kaderim
Hayat yoldaşım gönül sırdaşım
Aydınlık dünyam toz pembe rüyam
Bir yudum suyum bir lokma aşım

Alın yazımsın gönül sazımsın
Aşkım gururum bitmez nazımsın"
"Ağlamakla, İnlemekle Ömrüm Geçip Gidiyor","Ağlamakla, inlemekle ömrüm geçip gidiyor
Devâsı yok, garip gönlüm günden güne / ah / eriyor
Feryâdıma, efgânıma kimse bir ses vermiyor
Devâsı yok, garip gönlüm günden güne / ah / eriyor"
Ah Nideyim Sahn-ı Çemen,"Ah nideyim sahn-ı çemen seyrini cananım yok
Ah bir yanımca salınır servi hıramanım yok
Yar yar hayranın olam yar
Dost dost kurbanın olam dost
Yellelli yele la la la ömrüm yele la li
Gel servi yele la la la mirim yele la li
Ah bir yanımca salınır servi hıramanım yok"
Anlatamam Bu Aşkın Hikayesi Derindir,"Anlatamam bu aşkın hikayesi derindir
Beni kaç yıl inleten o güzel gözlerindir
Gönlüm senin esirin kalbim senin yerindir
Beni kaç yıl inleten o güzel gözlerindir"
Adanın Yeşil Çamları,"Adanın yeşil çamları aşkımıza yer olsun
Ne çâre ayırdı felek, kalplerimiz bir olsun
İpek saçından bir tel ver bana yadigâr olsun
Ne çâre ayırdı felek, kalplerimiz bir olsun"
Ben Küskünüm Feleğe,"Ben küskünüm feleğe
Düştüm bitmez çileye
Nerelere gideyim
Kara bahtım gülmeye
Ben küskünüm feleğe
Düştüm bitmez çileye
Ben ne ettim feleğe
Verdi bana bu derdi
Yıllardır hep ağlattın
Şu gönlüm güldürmedi
Ben küskünüm feleğe
Düştüm bitmez çileye"
Bakmıyor Çeşm-i Siyah Feryâde,"Bakmıyor çeşm-i siyah feryâde
Yetiş ey gamze yetiş imdâde
Gelmiyor hançer-i ebru dâda
Yetiş ey gamze yetiş imdâde"
Bak Yeşil Yeşil,"Kapat gözlerini kimse görmesin
Yalnız benim için bak yeşil yeşil
Gözlerin kimseye ümit vermesin
Yalnız benim için bak yeşil yeşil

Seni öyle sevdim ölürcesine
Tanrı' nın yazdığı şiircesine
İçimden geçeni bilircesine
Yalnız benim için bak yeşil yeşil"
